id,name,organization,category,subcategory,region,country,audience,eligibility,url,apply_url,deadline,deadline_type,status,compensation,compensation_details,location_type,location,duration,cohort_season,tags,description,source,source_type,date_added,last_verified,notes
yc-startup-school-2026,Startup School 2026,Y Combinator,accelerator,startup_accelerator,global,,founder,Open to promising builders worldwide,https://events.ycombinator.com/startup-school-2026,https://events.ycombinator.com/startup-school-2026,2026-03-08,fixed,open,unpaid,Travel covered by YC,in_person,San Francisco,2 days,summer,yc|startup|founders|sf,Highly selective in-person event. YC hand-selects promising builders and flies them to SF for 2 days (July 25-26 2026). Strong signal for future YC applicants.,Official website,official,2026-03-06,2026-03-07,Application asks about things built and coding agent sessions
eigenprize,The Eigenprize,Eigenprize,grant,project_grant,global,,undergrad|masters|phd|early_career|founder,Anyone who builds discovers or does things. No age interest or location limits.,https://eigen.build,https://eigen.build,2026-03-09,fixed,open,grant,$250k total: $100k 1st / $30k 2nd / $20k 3rd / $5k for 4th-23rd,varies,,varies,year_round,grant|no_strings|builders|scientists,10-minute application for up to $100k. No strings attached - no equity taken zero expectations. For builders scientists and operators.,LinkedIn post,community,2026-03-06,2026-03-07,Very quick application process by design
comma-zero,Comma Zero 2.0,Comma VC,ecosystem,founder_network,us,US,undergrad|recent_grad|high_school|founder,College students recent grads (up to 1 year) HS students dropouts or non-college,https://comma.vc,https://bit.ly/commazero2,2026-03-13,rolling,open,equity,Funding for up to 5 teams,varies,,varies,spring,student_founders|first_check|ai,First check program for young founders. Positions itself as founders first believer. Believes AI is the great equalizer for young founders.,Google Form,community,2026-03-06,2026-03-07,Rolling until March 13
ai4ph-internship,AI4PH Internship Program,AI4PH-HRTP,research,academic_research,canada,CA,undergrad|masters|phd,Must have legal work authorization in Canada. International students with study permits allowing off-campus work eligible.,https://ai4ph-hrtp.ca/internships/,https://ai4ph-hrtp.ca/internships/,2026-03-16,fixed,open,stipend,$10000 CAD minimum,hybrid,,3-6 months,summer,health|ai|ml|public_health|canada,Part-time (10-15 hrs/week) internship applying AI/ML to public health challenges. Work with 12 host organizations across Canada. Some positions remote.,Official website,official,2026-03-06,2026-03-07,Deadline is midnight Pacific Time
osv-fellowship,O'Shaughnessy Fellowship,O'Shaughnessy Ventures,fellowship,cohort_fellowship,global,,undergrad|masters|phd|early_career|founder,Adults worldwide. Seeks self-directed individuals with demonstrated initiative.,https://www.osvfellowship.com/,https://www.osvfellowship.com/,2026-04-30,rolling,open,grant,$100k fellowship (10 awards) or $10k+ grant (up to 20 awards),varies,,1 year,year_round,fellowship|grant|equity_free|builders,One-year program for builders researchers and creatives. No equity taken. Access to network of founders investors mentors. Rolling review - most hear back within 30 days.,Official website,official,2026-03-06,2026-03-07,Two tiers: $100k fellowship and $10k+ grants
founders-inc,Founders Inc,Founders Inc,accelerator,startup_accelerator,us,US,founder,Builders in emerging tech (AR/VR hardware AI/ML Web3 dev tools consumer). Must show previous project success and traction.,https://f.inc/about,https://f.inc/about,rolling,rolling,open,equity,Up to $250k for 4-7% equity,in_person,San Francisco,ongoing,year_round,emerging_tech|hardware|ai|web3|sf,Not a traditional accelerator - a long-term home to build. Includes desk space hardware lab gym office hours fundraising support. No decks or pitches - apply then build at lab for 1-2 weeks.,Official website,official,2026-03-06,2026-03-07,Response within a month
iaps-fellowship,IAPS AI Policy Fellowship,Institute for AI Policy and Strategy,fellowship,cohort_fellowship,us_canada,US|CA,undergrad|masters|phd,Applicants with policy and technical backgrounds at various seniority levels. Fellows range from mid-undergraduate to experienced professionals.,https://www.iaps.ai/fellowship,https://www.iaps.ai/newsletter,,,unknown,stipend,$22000,hybrid,Washington DC,10 weeks,year_round,ai|policy|fellowship,Fully-funded program for professionals from varied backgrounds seeking to strengthen practical policy skills for securing a positive future with powerful AI.,Official website,official,2026-03-07,2026-03-07,
critical-prize,Critical University Impact Prize,Critical Venture Partners,grant,competition,us,US,undergrad|recent_grad|founder,Student and recent alumni founders tackling major crises in climate healthcare and economic opportunity.,https://www.critical.vc/prize,https://criticalvp.notion.site/1ab3003160668051b241fc145096f128,2026-04-16,fixed,open,grant,$100K grand prize,in_person,,,,startup|vc|social_impact|climate|health,Inaugural pitch competition with $100K grand prize. Judges and mentors include partners at Khosla Ventures and General Catalyst. Part of Critical Venture Partners $5M fund for student founders.,Official website,official,2026-03-07,2026-03-07,Apps open March 24 close April 16
kaust-vsrp,KAUST VSRP Internship,King Abdullah University of Science and Technology,research,academic_research,global,,undergrad|masters,3rd and 4th-year bachelor's and master's students in STEM fields.,https://admissions.kaust.edu.sa/internship/search,https://admissions.kaust.edu.sa/info-and-contact/apply,rolling,rolling,open,stipend,$1000/month + housing + flights,in_person,Saudi Arabia,3-6 months,year_round,research|stem|international,Visiting Student Research Program (VSRP). Fully funded: monthly stipend housing health insurance and return flights. 130 students selected annually across 150+ projects.,Official website,official,2026-03-07,2026-03-07,
mpi-internship,Max Planck CS Research Internship,Max Planck Institutes,research,academic_research,global,,undergrad|masters|phd,Exceptional bachelor's master's and doctoral students worldwide with background in Computer Science.,https://www.cis.mpg.de/internships,https://apply.cis.mpg.de/register/internship,2026-11-01,fixed,open,stipend,,in_person,Germany,14 weeks,year_round,research|cs|ml|ai,Research internships at Max Planck Institutes for Informatics Software Systems and Security and Privacy in all areas of Computer Science.,Official website,official,2026-03-07,2026-03-07,
